,Title,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors,Horror,Sci-Fi,Drama,Thriller,Comedy,Adventure,Action,Adult,Mystery,Crime,Romance,War,Fantasy,Animation,Musical,Family,Western,Title_Dead,Title_Zombie
238,Dead of Night,movie,6.6,88.0,1974,"Drama, Horror, Thriller",5515,1974-08-29,Bob Clark,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
28,No profanar el sueño de los muertos,movie,6.8,95.0,1974,Horror,8619,1974-09-30,Jorge Grau,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
153,Shivers,movie,6.4,87.0,1975,"Horror, Sci-Fi",21893,1975-09-26,David Cronenberg,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
166,¿Quién puede matar a un niño?,movie,7.2,112.0,1976,"Adventure, Horror, Mystery, Thriller",7569,1976-04-26,Narciso Ibáñez Serrador,True,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False
133,Rabid,movie,6.3,91.0,1977,"Horror, Sci-Fi",19930,1977-04-08,David Cronenberg,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
47,Shock Waves,movie,5.5,85.0,1977,"Horror, Mystery, Sci-Fi",5807,1977-06-22,Ken Wiederhorn,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
246,Blue Sunshine,movie,6.0,94.0,1977,"Horror, Thriller",3033,1977-09-03,Jeff Lieberman,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
164,Les raisins de la mort,movie,6.1,85.0,1978,Horror,2581,1978-07-05,Jean Rollin,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
116,Dawn of the Dead,movie,7.8,127.0,1978,"Horror, Thriller",123254,1978-09-01,George A. Romero,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
81,Phantasm,movie,6.6,89.0,1979,"Horror, Sci-Fi",38432,1979-01-31,Don Coscarelli,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
109,Zombi 2,movie,6.8,91.0,1979,Horror,28853,1979-08-25,Lucio Fulci,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
40,Zombi Holocaust,movie,5.2,84.0,1980,"Adventure, Horror, Mystery, Sci-Fi, Thriller",5602,1980-03-28,Marino Girolami,True,True,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False
140,The Alien Dead,movie,2.7,74.0,1980,"Comedy, Horror, Sci-Fi",1195,1980-06-01,Fred Olen Ray,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False
150,Apocalypse domani,movie,5.5,96.0,1980,"Drama, Fantasy, Horror, Thriller",3974,1980-08-04,Antonio Margheriti,True,False,True,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False
232,Paura nella città dei morti viventi,movie,6.2,93.0,1980,Horror,18165,1980-08-11,Lucio Fulci,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
163,Bloodeaters,movie,3.9,89.0,1980,Horror,1051,1980-10-31,Charles McCrann,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
6,Virus,movie,4.9,99.0,1980,"Horror, Sci-Fi, Thriller",5463,1980-11-10,"Claudio Fragasso, Bruno Mattei",True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
66,Incubo sulla città contaminata,movie,5.6,92.0,1980,"Horror, Sci-Fi, Thriller",6413,1980-12-11,Umberto Lenzi,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
110,Le notti del terrore,movie,5.6,85.0,1981,Horror,5857,1981-01-23,Andrea Bianchi,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
96,...E tu vivrai nel terrore! L'aldilà,movie,6.6,87.0,1981,Horror,23690,1981-04-29,Lucio Fulci,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
180,Le lac des morts vivants,movie,3.1,90.0,1981,Horror,3456,1981-05-13,"Julian de Laserna, Jean Rollin",True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
204,Dead & Buried,movie,6.5,94.0,1981,"Horror, Mystery",13680,1981-05-29,Gary Sherman,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False
29,Quella villa accanto al cimitero,movie,6.1,86.0,1981,Horror,15199,1981-08-14,Lucio Fulci,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
195,The Evil Dead,movie,7.4,85.0,1981,Horror,214867,1981-10-15,Sam Raimi,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
181,Dawn of the Mummy,movie,3.8,93.0,1981,Horror,1181,1981-12-11,Frank Agrama,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
241,The Beast Within,movie,5.6,98.0,1982,Horror,4207,1982-02-12,Philippe Mora,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
