Position,Const,Created,Modified,Description,Title,URL,Title Type,IMDb Rating,Runtime (mins),Year,Genres,Num Votes,Release Date,Directors
32,tt1579235,2014-02-18,2014-02-18,,Harold's Going Stiff,https://www.imdb.com/title/tt1579235/,movie,5.8,77,2011,"Comedy, Horror",728,2011-05-06,Keith Wright
33,tt0470402,2014-02-18,2014-02-18,,Khun krabii hiiroh,https://www.imdb.com/title/tt0470402/,movie,5.8,95,2004,"Action, Comedy, Fantasy, Horror",892,2004-12-16,Taweewat Wantha
34,tt1090189,2014-02-18,2014-02-18,,Black Swarm,https://www.imdb.com/title/tt1090189/,tvMovie,3.9,89,2007,"Action, Comedy, Drama, Horror, Sci-Fi, Thriller",997,2007-12-07,David Winning
35,tt0387549,2014-02-18,2014-02-18,,The Roost,https://www.imdb.com/title/tt0387549/,movie,4.8,80,2005,"Horror, Thriller",2150,2005-03-12,Ti West
36,tt0779982,2014-02-18,2014-02-18,,Black Sheep,https://www.imdb.com/title/tt0779982/,movie,5.8,87,2006,"Adult, Comedy, Horror, Sci-Fi",41182,2006-09-10,Jonathan King
37,tt0398927,2014-02-18,2014-02-18,,Dead Meat,https://www.imdb.com/title/tt0398927/,movie,3.9,87,2005,"Comedy, Horror",916,2005-02-01,Philip Cruz
38,tt2328841,2014-02-18,2014-02-18,,Z-108 qi cheng,https://www.imdb.com/title/tt2328841/,movie,3.3,83,2012,"Horror, Sci-Fi",965,2012-04-06,Joe Chien
39,tt1172571,2014-02-18,2014-02-18,,The Children,https://www.imdb.com/title/tt1172571/,movie,5.9,84,2008,"Horror, Mystery, Thriller",18517,2008-12-05,Tom Shankland
40,tt0415167,2014-02-18,2014-02-18,,Mortuary,https://www.imdb.com/title/tt0415167/,movie,4.1,94,2005,"Horror, Mystery, Thriller",6019,2005-08-03,Tobe Hooper
41,tt0079788,2014-02-18,2014-02-18,,Zombi Holocaust,https://www.imdb.com/title/tt0079788/,movie,5.2,84,1980,"Adventure, Horror, Mystery, Sci-Fi, Thriller",5602,1980-03-28,Marino Girolami
42,tt0090917,2014-02-18,2014-02-18,,Deadly Friend,https://www.imdb.com/title/tt0090917/,movie,5.5,91,1986,"Drama, Horror, Sci-Fi, Thriller",8207,1986-10-10,Wes Craven
43,tt0047960,2014-02-18,2014-02-18,,Creature with the Atom Brain,https://www.imdb.com/title/tt0047960/,movie,5.5,69,1955,"Crime, Horror, Sci-Fi, Thriller",1542,1955-06-22,Edward L. Cahn
44,tt0036307,2014-02-18,2014-02-18,,Revenge of the Zombies,https://www.imdb.com/title/tt0036307/,movie,4.6,61,1943,"Drama, Horror, Thriller",752,1943-09-17,Steve Sekely
45,tt0173866,2014-02-18,2014-02-18,,Frozen Scream,https://www.imdb.com/title/tt0173866/,movie,2.9,85,1975,Horror,558,,Frank Roach
